doc_id,num_pages,num_sections,num_chunks,num_empty_pages,avg_chunk_tokens,max_chunk_tokens
2019-09-17-safety-policy,2,1,4,0,250.5,300
34.201-2020,12,5,17,0,233.1764705882353,300
34.602-2020,12,6,32,0,243.9375,302
4293767636,28,13,75,0,255.78666666666666,302
GOST_R_2.105-2019,36,15,83,1,253.12048192771084,303
Gost_7-32_2017,47,19,88,0,233.64772727272728,301
cto_gazprom_1.13-2012,32,13,57,0,236.59649122807016,301
koncept_tr_2023,10,5,24,0,257.9166666666667,301
pravila_vklychenija_produkcii_v_mtr,2,1,4,0,249.0,301
rosstandart_290725-gost,36,12,59,2,244.4406779661017,302
sto-gazprom-1.15-2014,40,19,70,0,223.5142857142857,302
sto-gazprom-1.6-2014,24,10,37,0,241.86486486486487,300
sto_gazprom_1.0-2009,41,19,75,0,227.8,300
sto_gazprom_1.1-2009,84,38,139,0,228.20863309352518,300
